ci/verify-rust-native-prs	PR #61	merged
feat/rapier-native-section-ownership	PR #63	merged
feat/reconstruction-body-operation-contract	PR #64	merged
feat/reconstruction-commit-seal	PR #58	merged
feat/reconstruction-commit-verification	PR #44	merged
feat/reconstruction-container-baseline	PR #40	merged
feat/reconstruction-decoded-chunk-staging	PR #53	merged
feat/reconstruction-decoded-plot-bounds	PR #65	merged
feat/reconstruction-detached-target	PR #60	merged
feat/reconstruction-entity-residue-preflight	PR #50	merged
feat/reconstruction-exclusive-runtime-id-lease	PR #59	merged
feat/reconstruction-payload-preflight	PR #47	merged
feat/reconstruction-physics-capability-gate	PR #45	merged
feat/reconstruction-platform-capability-gate	PR #51	merged
feat/reconstruction-prepared-attempt	PR #41	merged
feat/reconstruction-publication-preflight	PR #48	merged
feat/reconstruction-registry-preflight	PR #49	merged
feat/reconstruction-reserved-runtime-id-adoption	PR #57	merged
feat/reconstruction-rollback-transaction	PR #39	merged
feat/reconstruction-runtime-id-contract	PR #55	merged
feat/reconstruction-section-operation-contract	PR #62	merged
feat/reconstruction-staged-payload	PR #52	merged
feat/transaction-owned-physics-section	PR #43	merged
feat/transaction-owned-physics-ticket	PR #42	merged
feat/transactional-reconstruction-plan	PR #38	merged
feat/rapier-runtime-id-reservation	PR #54	merged
feat/rapier-runtime-id-wiring	PR #56	merged
fix/sublevel-serialization-chunk-metadata	PR #46	merged
